player_name,country,teams,account_id,opendota_name,liquipedia_title,photo_url,match_count,wins,recent_match_count,recent_wins,avg_kills,avg_deaths,avg_assists,avg_gpm,avg_xpm
Manee,AG,Just Webing,1118496070,Manee,,https://avatars.steamstatic.com/261a69e70726d36174180bf12052ec549b769ffa_full.jpg,468,274,20,14,7.0,5.7,17.1,472.45,590.5
Lovely,AI,Mad Kings Esports,196617903,Lovely,,https://avatars.steamstatic.com/6335876f02a7b1e200ac796f7011476db2165179_full.jpg,289,205,20,10,4.95,7.9,24.6,360.9,576.75
autosport,AM,NO BF,1029278444,autosport,,https://avatars.steamstatic.com/a03d399f465e708bcb2e4b2211425376726a8c29_full.jpg,1389,698,20,8,7.4,8.8,10.0,859.05,1249.2
meow,AO,Victory Vortex,1133471138,meow,,https://avatars.steamstatic.com/0fb524702c518f4862995ceac9ca2c0da94d57a1_full.jpg,3152,1589,20,6,9.15,7.15,14.4,478.35,650.1
Zigmorz,AS,FREEDOM$$KIE,415819966,Zigmorz,,https://avatars.steamstatic.com/e1f5926847f0a5ea8b8861531a7077d7338fadeb_full.jpg,12,6,20,8,4.65,5.85,11.6,334.0,549.4
Tobi,AT,Tundra Esports,140288368,Tobi,,https://avatars.steamstatic.com/9ffa3c29ad48561f8219c90fdef31bfeaccdfe81_full.jpg,14887,7896,20,9,1.9,8.45,15.0,292.0,471.5
kutaec,AW,Vagabond,1424632229,kutaec,,https://avatars.steamstatic.com/5024b618cff07088c37fc4e2408f096ebf3afd96_full.jpg,2850,1364,20,10,12.3,6.05,13.75,520.65,800.5
eaases,AX,SIBERIAN BEARS,1111981131,eaases,,https://avatars.steamstatic.com/2c29eede08bf6db3d2ef87a52342dd6087f5df40_full.jpg,284,148,20,8,8.1,9.3,13.35,509.8,741.35
SHVABAUER,Afghanistan,Bedolagi,942416332,SHVABAUER,,https://avatars.steamstatic.com/a38e2f2f2897fbbffe078e436f7ffc87aeff4d02_full.jpg,1731,849,20,8,5.3,9.35,14.45,443.75,685.8
uonvl,Albania,Team Neverlose,1281330173,uonvl,,https://avatars.steamstatic.com/b97cd083047f2a72c9e56a028bd0a6fb47c42d82_full.jpg,1287,682,20,9,5.85,6.9,15.75,390.55,569.5
MegaKaba4ok63,Andorra,АЛЬТУШКИ,407285373,MegaKaba4ok63,,https://avatars.steamstatic.com/f77699e1974df485131db7d5c41d8ba32843b0b1_full.jpg,4274,2195,20,9,9.45,5.15,9.2,1193.35,1813.7
Godot,Australia,Acion Arena,138444306,Godot,,https://liquipedia.net/commons/images/4/4a/Godot_wesg_2018.jpg,7984,4016,20,10,6.35,9.05,20.2,433.1,596.55
TweZZyy,BB,s84,402066396,TweZZyy,,https://avatars.steamstatic.com/45544b1d9c0e02826faa717933f8ff99658524af_full.jpg,2100,1076,20,9,6.55,7.85,7.25,532.15,763.75
Crazysh0t,BD,Suddenly,1535332972,Crazysh0t,,https://avatars.steamstatic.com/2d88c02697d2fa80db384cea94d2894da06f8587_full.jpg,11,2,11,2,4.09,10.27,14.55,416.27,588.55
Davai Lama,BE,HEROIC,138880576,Davai Lama,,https://avatars.steamstatic.com/173b60fdd7588ddcee632899b99878b0c676321c_full.jpg,17958,9440,20,14,4.4,3.95,12.7,541.6,703.05
CTOMAHEH1,BG,B8,314584168,CTOMAHEH1,,https://avatars.steamstatic.com/b7ca27355a9e69e1451394e8d5f82891c3084bc0_full.jpg,3962,2295,20,16,15.4,4.65,18.0,638.75,882.95
Malr1ne,BI,Team Falcons,898455820,Malr1ne,,https://avatars.steamstatic.com/28adc58a0b3ba9e0ab1cccf04bf4f7ea01b15f72_full.jpg,13680,7157,20,10,6.45,4.9,11.05,581.65,777.75
Overrated-,BJ,RIP,391344666,Overrated-,,https://avatars.steamstatic.com/850e0ad405588add9714a17546713d6af045b08f_full.jpg,4775,2356,20,7,4.9,10.05,21.25,369.75,595.85
Napster△,BN,КИМЛОРОД,1212103687,Napster△,,https://avatars.steamstatic.com/ffecf7ea36997f35751e3f55cc4dcf720a6e49fe_full.jpg,1752,864,20,8,7.5,5.85,13.75,494.5,745.45
Oscar,BO,NoPing Esports,352623024,Oscar,,https://avatars.steamstatic.com/5ead1626910f2b297d318e7969dc9e813a944113_full.jpg,7638,4200,20,11,3.6,3.85,8.05,528.85,679.65
ZIRNIJ 2007,BS,4ivasPrime,1137701850,ZIRNIJ 2007,,https://avatars.steamstatic.com/f4ac577a8ba46fac1ac578797717db061dc4f45c_full.jpg,19,12,19,12,10.21,7.21,14.37,543.68,747.26
nayassse,BY,kitsunes tail,1129978666,nayassse,,https://avatars.steamstatic.com/6e8369c2e5765d5fd0686414403cb893c7d970b2_full.jpg,1883,958,20,12,7.05,5.0,9.65,666.8,901.4
MiLAN,Bosnia and Herzegovina,LEVEL UP,98172857,MiLAN,,https://avatars.steamstatic.com/6ba5523eb3990bd167b49a112668a2e57a06a304_full.jpg,9638,5230,20,13,3.05,6.65,16.8,365.05,535.5
hyko,Brazil,x5 Gaming,85312703,hyko,,https://avatars.steamstatic.com/84224ae831a9bb981eedffa03852e0d0736c152c_full.jpg,12874,6867,20,11,4.75,4.3,11.8,536.4,655.2
