country,team_name,player_name,player_headshot_url,team_logo_url
Russia,{{PlayerTeamAuto}},.Ark,https://liquipedia.net/commons/images/5/59/Ark_2022.png,
United States,,04,,
Mongolia,{{PlayerTeamAuto}},11,https://liquipedia.net/commons/images/8/8e/11_2024_IHC_Esports.jpg,
Canada,,1437,https://liquipedia.net/commons/images/f/fd/1437_SL_i-League.jpg,
Thailand,{{PlayerTeamAuto}},23savage,https://liquipedia.net/commons/images/0/06/23_PGL_Wallachia_Season_1.jpg,
China,,290,,
id,,2hoi,,
Israel,{{PlayerTeamAuto}},33,https://liquipedia.net/commons/images/0/02/33_2025_Tundra_Esports.png,
Mongolia,{{PlayerTeamAuto}},423,https://liquipedia.net/commons/images/5/54/423_2023_IHC_Esports.png,
Brazil,,444,https://liquipedia.net/commons/images/c/c4/444_EPICENTER_Major_2019.jpg,
Vietnam,{{PlayerTeamAuto}},458,https://liquipedia.net/commons/images/f/fc/458_2023_SPAWN_Team.png,
Brazil,,4dr,https://liquipedia.net/commons/images/4/47/4dr_EPICENTER_Major_2019.jpg,
Brazil,{{PlayerTeamAuto}},4nalog,https://liquipedia.net/commons/images/9/9f/4nalog_2024_PGL_Wallachia_Season_2.jpg,
Chile,{{PlayerTeamAuto}},555,,
Germany,{{PlayerTeamAuto}},5up,,
China,{{PlayerTeamAuto}},7e,https://liquipedia.net/commons/images/2/2b/7e_Huya_Dota2_Winter_Invitational_2020.jpg,
Ukraine,{{PlayerTeamAuto}},7jesu,https://liquipedia.net/commons/images/6/66/7jesu_Team_Lynx_2025.jpg,
China,Old Boys,820,,https://liquipedia.net/commons/images/c/c4/Oldboys_Logo.png
China,,897,https://liquipedia.net/commons/images/a/ae/897-FTD_201710.jpg,
China,,928,,
Russia,{{PlayerTeamAuto}},9Class,https://liquipedia.net/commons/images/a/ac/9Class_2024_PARIVISION.png,
Russia,,9pasha,https://liquipedia.net/commons/images/a/a1/9pasha_at_EPICENTER_XL.jpg,
India,{{PlayerTeamAuto}},A35,,
Thailand,,AabBAA,,
Philippines,{{PlayerTeamAuto}},Ab1ng,https://liquipedia.net/commons/images/3/34/Ab1ng_ESL_India_Premiership_Summer_2017.jpg,
Philippines,{{PlayerTeamAuto}},Abat,,
Philippines,{{PlayerTeamAuto}},Abed,https://liquipedia.net/commons/images/e/ee/Abed_2025_Virtus.pro.png,
Philippines,,Abeng,https://liquipedia.net/commons/images/3/35/Abeng_2021_Neon_Esports.png,
Peru,{{PlayerTeamAuto}},Accel,https://liquipedia.net/commons/images/d/dc/Accel_Frankfurt_Major_2015.jpg,
Denmark,{{PlayerTeamAuto}},Ace,https://liquipedia.net/commons/images/2/22/Ace_2025_PGL_Wallachia_Season_6.jpg,
China,,ACE (Tan Erjie),https://liquipedia.net/commons/images/9/92/Protoss_AMD_Dota_2_Pro_Series_2018.jpg,
Mongolia,{{PlayerTeamAuto}},Ace12,https://liquipedia.net/commons/images/d/d0/Ace12_Open_Esports_Student_Games_2025.jpg,
Indonesia,,Acil,,
Czech Republic,{{PlayerTeamAuto}},Ade,https://liquipedia.net/commons/images/0/02/Ade.png,
Russia,,Admiration,https://liquipedia.net/commons/images/0/08/WIH-BEYlT.jpg,
Peru,{{PlayerTeamAuto}},Adrian,https://liquipedia.net/commons/images/a/a9/Adrian_2023_Dreamers_Esports.png,
United Kingdom,{{PlayerTeamAuto}},Adzantick,https://liquipedia.net/commons/images/c/cb/Adzantick_2022_D2_Hustlers.jpg,
Russia,,Afoninje,https://liquipedia.net/commons/images/b/b6/Afoninje_EPICENTER_Major_2019.jpg,
Russia,{{PlayerTeamAuto}},AfterLife,https://liquipedia.net/commons/images/c/c5/Afterlife_2023_One_Move.png,
China,,Agressif,https://liquipedia.net/commons/images/1/11/Agressif-iG.jpg,
Malaysia,,AhJit,,
Kazakhstan,,Aik,https://liquipedia.net/commons/images/3/31/Aik_2024_Nemiga_Gaming.png,
Malaysia,,Aikster,,
China,,Ainiyo,,
Belarus,{{PlayerTeamAuto}},Ainkrad,https://liquipedia.net/commons/images/5/50/Ainkrad_2023_One_Move.png,
China,,Air,,
Russia,{{PlayerTeamAuto}},Airu,,
Philippines,{{PlayerTeamAuto}},Akashi,,
Sweden,Alliance,Akke,,https://liquipedia.net/commons/images/a/a9/Alliance_2024_full_allmode.png
Malaysia,,AlaCrity (player),https://liquipedia.net/commons/images/8/8d/AlaCrity_DreamLeague_Season_13_The_Leipzig_Major.jpg,
Russia,{{PlayerTeamAuto}},Alberkaaa,,
United States,{{PlayerTeamAuto}},Albinozebra1,,
Serbia,,Alexxo,https://liquipedia.net/commons/images/d/d1/Alexxo.jpg,
Ukraine,,ALOHADANCE,https://liquipedia.net/commons/images/0/0c/ALOHADANCE_SL_i-League_2.jpg,
Peru,{{PlayerTeamAuto}},Alone (Peruvian player),https://liquipedia.net/commons/images/f/fe/Alone_2021_Infamous.png,
China,{{PlayerTeamAuto}},Ame,https://liquipedia.net/commons/images/d/d3/Ame_2026_Xtreme_Gaming.png,
Australia,,Ana,https://liquipedia.net/commons/images/2/22/Ana_PGL_Arlington_Major_2022.jpg,
North Macedonia,,Andrej Porjazovski,,
Russia,,ANDROIDp,https://liquipedia.net/commons/images/d/dd/MSI_AndyLendi.jpg,
Australia,{{PlayerTeamAuto}},Andros,,
Russia,{{PlayerTeamAuto}},Antares,https://liquipedia.net/commons/images/0/06/Antares_2025_Virtus.pro.png,
Russia,{{PlayerTeamAuto}},Antoha,https://liquipedia.net/commons/images/4/42/Antoha_RESF_Open_Cup_2023.jpg,
Sweden,,Apemother,https://liquipedia.net/commons/images/a/ae/Apemother_StarLadder_StarSeries_Season_11.jpg,
China,,Aq,,
Israel,,Aramis,https://liquipedia.net/commons/images/7/70/Aramis_2022_Alliance.jpg,
Peru,,Aretes,,
Peru,{{PlayerTeamAuto}},Argius,,
United Kingdom,{{PlayerTeamAuto}},Ari,https://liquipedia.net/commons/images/a/ac/Ari_2025_Tundra_Esports.png,
Russia,{{PlayerTeamAuto}},Ariel,https://liquipedia.net/commons/images/5/50/Ariel_4Pirates.jpg,
Romania,,Arise,,
Mongolia,,Ariunbolor,,
Peru,{{PlayerTeamAuto}},Arkano,https://liquipedia.net/commons/images/7/7f/Arkano_2023_Balrogs_Esports.png,
Philippines,{{PlayerTeamAuto}},Armel,https://liquipedia.net/commons/images/4/43/Armel_2022_Fnatic.png,
Brazil,,Arms,https://liquipedia.net/commons/images/f/fc/Arms.jpg,
Kazakhstan,{{PlayerTeamAuto}},ArrOw,https://liquipedia.net/commons/images/c/c4/Arrowimg.jpg,
Canada,{{PlayerTeamAuto}},Arteezy,https://liquipedia.net/commons/images/b/b8/Arteezy_PGL_Wallachia_Season_1.jpg,
Ukraine,,Artes,,
Peru,{{PlayerTeamAuto}},ArzenT,https://liquipedia.net/commons/images/0/01/ArzenT_2022_Mad_Kings_Esports.png,
cn,,ASD,https://liquipedia.net/commons/images/d/dc/ASD-EHOME_2018.jpg,
Russia,{{PlayerTeamAuto}},Asdekor r,https://liquipedia.net/commons/images/0/02/Asdekor_r_AVULUS_2025.png,
China,,Ash,https://liquipedia.net/commons/images/0/05/Ash_2022_ShenZhen.png,
Kyrgyzstan,{{PlayerTeamAuto}},Askold,https://liquipedia.net/commons/images/6/6b/Askold_Fantastic_Five_2021.png,
Belarus,{{PlayerTeamAuto}},Astral,https://liquipedia.net/commons/images/c/cf/Astral_202111_PuckChamp.png,
Jordan,{{PlayerTeamAuto}},ATF,https://liquipedia.net/commons/images/5/54/ATF_2025_Team_Falcons.png,
United Arab Emirates,Nigma Galaxy,Attacker,,https://liquipedia.net/commons/images/e/e8/Nigma_Galaxy_full_lightmode.png
Peru,,Atun,https://liquipedia.net/commons/images/0/0d/Atun_frankfurt_major_2015.jpg,
Germany,,Atze,,
China,,Awoke,https://liquipedia.net/commons/images/f/f4/Awoke.jpg,
Ukraine,,Axypa,,
China,,Ayo,https://liquipedia.net/commons/images/2/2a/Ayo_PGL_Open_Bucharest_2017.jpg,
China,Dark Horse,Ayunid,https://liquipedia.net/commons/images/1/1d/AYuNiD_2021_Xtreme_Gaming.png,
Indonesia,{{PlayerTeamAuto}},Azur4,https://liquipedia.net/commons/images/7/79/Azur4_2021_Army_Geniuses.png,
Canada,,B,https://liquipedia.net/commons/images/6/67/Bleek.jpg,
kz,UALEIKUMNIHAO,B1kA,https://liquipedia.net/commons/images/4/40/B1ka.jpeg,https://liquipedia.net/commons/images/b/b1/UALEIKUMNIHAO_allmode.png
Kazakhstan,,B7 NexT LeveL,,
Russia,{{PlayerTeamAuto}},Babitich,,
Brazil,,Baga,,
Australia,,Balla,https://liquipedia.net/commons/images/d/d3/BallaESLAUNZD2S1Finals.jpg,
Denmark,,Balsam,https://liquipedia.net/commons/images/0/09/Wolvesbalsam.jpg,
South Korea,,BaNhwa,,
Russia,Magic Hands,BarabaNN,,https://liquipedia.net/commons/images/5/54/Mh_new_of.png
Russia,,Barash,,
Brazil,,Bardo,,
Singapore,,Barry,,
Bulgaria,,Bashruk,,
Ukraine,{{PlayerTeamAuto}},Batyuk,,
Russia,{{PlayerTeamAuto}},Bb3px,,
United States,,Bdiz,https://liquipedia.net/commons/images/1/1d/Bdiz_RaidCall_EMS_One_Summer.jpg,
Laos,,BeeBie,https://liquipedia.net/commons/images/8/89/BeeBie_2023Q2_UD_Vessuwan.png,
United Kingdom,,Beesa,https://liquipedia.net/commons/images/a/ae/Beesa_WESG_2016_MENA.jpg,
Ukraine,{{PlayerTeamAuto}},Belony,,
Malaysia,,Ben,,
Sweden,{{PlayerTeamAuto}},Bengan,https://liquipedia.net/commons/images/4/42/Bengan_PGL_Wallachia_Season_1.jpg,
ph,,Benhur,https://liquipedia.net/commons/images/1/1b/Benhur_ESL_One_Manila_2016.jpg,
Peru,{{PlayerTeamAuto}},Benny,,
Philippines,,Bensoy,,
Peru,,Berna,,
